"id","name"
0,"17,20-lyase_deficiency"
1,"2-methyl-3-hydroxybutyryl-CoA_dehydrogenase_deficiency"
2,"2-methylbutyrylglycinuria"
3,"3-beta-hydroxysteroid_dehydrogenase,_type_II,_deficiency"
4,"3-hydroxyacyl-CoA_dehydrogenase_deficiency"
5,"3-Methylcrotonyl-CoA_carboxylase_deficiency"
6,"3-methylglutaconic_aciduria"
7,"3-methylglutaconicaciduria"
8,"3-M_syndrome"
9,"6-mercaptopurine_sensitivity"
10,"Aarskog-Scott_syndrome"
11,"Abacavir_hypersensitivity"
12,"ABCD_syndrome"
13,"Abetalipoproteinemia"
14,"Acampomelic_campolelic_dysplasia"
15,"Acatalasemia"
16,"Accelerated_tumor_formation"
17,"Achalasia-addisonianism-alacrimia_syndrome"
18,"Acheiropody"
19,"Achondrogenesis-hypochondrogenesis,_type_II"
20,"Achondrogenesis_Ib"
21,"Achondroplasia"
22,"Achromatopsia"
23,"Acid-labile_subunit,_deficiency_of"
24,"Acquired_long_QT_syndrome"
25,"Acrocallosal_syndrome"
26,"Acrocapitofemoral_dysplasia"
27,"Acrodermatitis_enteropathica"
28,"Acrokeratosis_verruciformis"
29,"Acromegaly"
30,"Acromesomelic_dysplasia"
31,"Acyl-CoA_dehydrogenase,_deficiency_of"
32,"Adenocarcinoma"
33,"Adenoma,_periampullary"
34,"Adenomas"
35,"Adenosine_deaminase_deficiency"
36,"Adenylosuccinase_deficiency"
37,"Adiponectin_deficiency"
38,"Adrenal_hyperplasia,_congenital"
39,"Adrenocortical_carcinoma"
40,"Adrenocorticotropic_hormone_deficiency"
41,"Adrenoleukodystrophy"
42,"Adrenomyeloneuropathy"
43,"Adult_i_phenotype"
44,"ADULT_syndrome"
45,"Advanced_sleep_phase_syndrome"
46,"Afibrinogenemia"
47,"Agammaglobulinemia"
48,"AGAT_deficiency"
49,"Agenesis_of_the_corpus_callosum_with_peripheral_neuropathy"
50,"AICA-ribosiduria_due_to_ATIC_deficiency"
51,"AIDS"
52,"Alagille_syndrome"
53,"Albinism"
54,"Alcohol_dependence"
55,"Alcoholism"
56,"Aldolase_A_deficiency"
57,"Aldosterone_to_renin_ratio_raised"
58,"Aldosteronism"
59,"Alexander_disease"
60,"Alkaptonuria"
61,"Allan-Herndon-Dudley_syndrome"
62,"Allergic_rhinitis"
63,"Alopecia_universalis"
64,"Alpers_syndrome"
65,"Alpha-1-antichymotrypsin_deficiency"
66,"Alpha-actinin-3_deficiency"
67,"Alpha-methylacetoacetic_aciduria"
68,"Alpha-methylacyl-CoA_racemase_deficiency"
69,"Alpha-thalassemia/mental_retardation_syndrome"
70,"Alport_syndrome"
71,"(null)"
72,"Alternating_hemiplegia_of_childhood"
73,"Alveolar_soft-part_sarcoma"
74,"Alzheimer_disease"
75,"Amelogenesis_imperfecta"
76,"Amish_infantile_epilepsy_syndrome"
77,"AMP_deaminase_deficiency"
78,"Amyloid_neuropathy"
79,"Amyloidosis"
80,"Amyotrophic_lateral_sclerosis"
81,"Analbuminemia"
82,"Analgesia_from_kappa-opioid_receptor_agonist,_female-specific"
83,"Anderson_disease"
84,"Androgen_insensitivity"
85,"Anemia"
86,"Angelman_syndrome"
87,"Angioedema"
88,"Angiofibroma,_sporadic"
89,"Angiotensin_I-converting_enzyme"
90,"Anhaptoglobinemia"
91,"Aniridia,_type_II"
92,"Ankylosing_spoldylitis"
93,"Anophthalmia"
94,"Anorexia_nervosa"
95,"Anterior_segment_anomalies_and_cataract"
96,"Antithrombin_III_deficiency"
97,"Antley-Bixler_syndrome"
98,"Anxiety-related_personality_traits"
99,"Aortic_aneurysm"
100,"Apert_syndrome"
101,"Aplasia_of_lacrimal_and_salivary_glands"
102,"Aplastic_anemia"
103,"Apnea,_postanesthetic"
104,"Apolipoprotein_deficiency"
105,"Apparent_mineralocorticoid_excess,_hypertension_due_to"
106,"Aquaporin-1_deficiency"
107,"ARC_syndrome"
108,"Argininemia"
109,"Aromatase_deficiency"
110,"Aromatic_L-amino_acid_decarboxylase_deficiency"
111,"Arrhythmogenic_right_ventricular_dysplasia"
112,"Arthrogryposis"
113,"Arthropathy"
114,"Aspartylglucosaminuria"
115,"Asperger_syndrome"
116,"Asthma"
117,"Ataxia"
118,"Ataxia-telangiectasia"
119,"Atelosteogenesis"
120,"Athabaskan_brainstem_dysgenesis_syndrome"
121,"Atherosclerosis"
122,"Atopy"
123,"Atransferrinemia"
124,"Atrial_fibrillation"
125,"Atrichia_with_papular_lesions"
126,"Atrioventricular_block"
127,"Attention-deficit_hyperactivity_disorder"
128,"Autism"
129,"Autoimmune_disease"
130,"Autonomic_nervous_system_dysfunction"
131,"Axenfeld_anomaly"
132,"Azoospermia"
